City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lichinga,-13.3128,35.2406,21.05,52,0,3.6,MZ,1667503002
84,vinh,18.6667,105.6667,20.85,69,89,1.9,VN,1667503004
85,chokurdakh,70.6333,147.9167,-23.28,94,100,1.66,RU,1667503005
86,kiama,-34.6833,150.8667,15.0,90,89,1.22,AU,1667503006
87,chinsali,-10.5414,32.0816,25.02,30,25,5.11,ZM,1667503008
88,linxi,39.7,118.4333,2.96,25,0,2.1,CN,1667503009
89,dikson,73.5069,80.5464,-3.27,93,100,2.74,RU,1667503010
90,berlevag,70.8578,29.0864,4.0,81,100,10.29,NO,1667503011
91,torbay,47.6666,-52.7314,4.04,69,75,10.8,CA,1667503012
92,luganville,-15.5333,167.1667,25.22,83,11,1.74,VU,1667503013
93,nikolskoye,59.7035,30.7861,1.0,93,95,1.25,RU,1667503014
94,chuy,-33.6971,-53.4616,17.79,60,1,5.28,UY,1667503015
95,san patricio,28.017,-97.5169,30.05,69,90,7.13,US,1667503017
96,nikel,69.4128,30.222,1.1,94,100,5.53,RU,1667503019
97,kazerun,29.6195,51.6541,17.86,78,83,0.62,IR,1667503021
98,caravelas,-17.7125,-39.2481,21.16,91,100,8.56,BR,1667503022
99,lunsar,8.6833,-12.5333,24.46,89,100,0.6,SL,1667503024
100,fairfield,41.2668,-73.3162,21.13,58,0,2.57,US,1667503025
101,rawson,-43.3002,-65.1023,28.72,15,0,12.07,AR,1667503027
102,baruun-urt,46.6806,113.2792,-6.85,60,1,3.77,MN,1667503028
103,la tuque,47.4334,-72.7824,16.14,36,100,3.09,CA,1667503030
104,trat,12.5,102.5,23.79,71,100,2.35,TH,1667503031
105,mataura,-46.1927,168.8643,10.25,62,48,4.67,NZ,1667503032
106,ulladulla,-35.35,150.4667,12.68,80,57,1.86,AU,1667503035
107,manokwari,-0.8667,134.0833,26.02,77,100,1.83,ID,1667503036
108,inongo,-1.95,18.2667,22.03,92,87,1.15,CD,1667503037
109,bengkulu,-3.8004,102.2655,24.71,88,100,2.98,ID,1667503038
110,saskylakh,71.9167,114.0833,-10.75,93,100,4.28,RU,1667503017
111,tessalit,20.1986,1.0114,25.86,13,0,3.63,ML,1667503040
112,ayagoz,47.9714,80.4392,4.2,87,85,1.45,KZ,1667503041
113,port elizabeth,-33.918,25.5701,20.61,88,0,6.17,ZA,1667503042
114,san juan de abajo,20.8167,-105.1833,28.82,48,0,3.6,MX,1667503043
115,svetlogorsk,52.6333,29.7333,7.68,94,100,3.12,BY,1667503045
116,saint george,37.1041,-113.5841,9.97,60,100,5.36,US,1667503047
117,fairlie,55.756,-4.8556,6.21,84,7,2.19,GB,1667503048
118,ponta do sol,32.6667,-17.1,22.78,92,77,1.3,PT,1667503049
119,longyearbyen,78.2186,15.6401,0.48,93,100,1.8,SJ,1667503050
120,bosansko grahovo,44.1794,16.3639,10.36,86,13,1.4,BA,1667503051
121,the pas,53.8251,-101.2541,-2.99,86,100,5.66,CA,1667503053
122,viedma,-40.8135,-62.9967,30.14,14,0,8.0,AR,1667502779
123,turayf,31.6725,38.6637,15.14,67,0,4.12,SA,1667503056
124,santa cruz cabralia,-16.2781,-39.0247,22.13,88,100,3.09,BR,1667503057
125,kodiak,57.79,-152.4072,0.73,60,0,7.72,US,1667503058
126,lorengau,-2.0226,147.2712,27.07,78,100,0.19,PG,1667503059
127,kavaratti,10.5669,72.642,27.97,72,59,3.76,IN,1667503060
128,karoi,-16.8099,29.6925,19.01,79,87,2.18,ZW,1667503061
129,columbia,34.0007,-81.0348,24.47,56,20,3.6,US,1667503063
130,barrow,71.2906,-156.7887,-11.99,85,100,3.6,US,1667503004
131,rutland,43.6167,-73.0162,19.95,42,0,3.09,US,1667503065
132,novo aripuana,-5.1206,-60.3797,28.42,53,97,1.31,BR,1667503066
133,riyadh,24.6877,46.7219,24.08,49,41,7.09,SA,1667502998
134,dunnville,42.9001,-79.6163,14.47,91,0,2.68,CA,1667503068
135,henties bay,-22.116,14.2845,15.34,81,1,3.07,NA,1667503069
136,valdemarpils,57.3707,22.5919,6.17,94,1,1.45,LV,1667503070
137,erzurum,40.0,41.5,6.82,67,6,2.59,TR,1667502846
138,lasa,46.6166,10.7002,9.65,96,100,2.91,IT,1667502840
139,kungurtug,50.5994,97.5228,-11.35,94,38,0.79,RU,1667503073
140,arlit,18.7369,7.3853,27.31,16,5,5.49,NE,1667503074
141,vadlapudi,14.3167,79.8,24.19,88,17,2.08,IN,1667503075
142,tilichiki,60.4667,166.1,-12.69,98,100,4.09,RU,1667503076
143,thompson,55.7435,-97.8558,-4.91,93,100,7.72,CA,1667503077
144,nova olimpia,-14.7972,-57.2881,30.69,25,9,3.68,BR,1667503078
145,antalya,36.7741,30.7178,17.27,67,0,3.6,TR,1667502787
146,saint-philippe,-21.3585,55.7679,22.77,83,100,4.55,RE,1667503080
147,georgiyevskoye,58.731,45.024,-0.03,91,100,2.33,RU,1667503082
148,pangnirtung,66.1451,-65.7125,-10.0,73,75,7.2,CA,1667503084
149,umaria,23.5333,80.8333,18.21,57,0,1.6,IN,1667503086
150,mana,5.6592,-53.7767,28.57,69,86,3.96,GF,1667503087
151,krasnoselkup,65.7,82.4667,-16.05,92,25,2.88,RU,1667503088
152,ghorawal,24.7667,82.7833,20.07,53,0,1.67,IN,1667503089
153,new norfolk,-42.7826,147.0587,7.72,64,12,0.45,AU,1667503090
154,samana,19.2056,-69.3369,30.12,70,75,3.09,DO,1667503091
155,salalah,17.0151,54.0924,27.05,69,20,2.06,OM,1667502808
156,causapscal,48.3542,-67.227,11.24,53,48,4.3,CA,1667503093
157,aklavik,68.2191,-135.0107,-13.0,78,100,2.57,CA,1667503094
158,dzerzhinskoye,56.8344,95.2283,-2.6,93,100,1.08,RU,1667503095
159,port shepstone,-30.7414,30.455,21.17,87,100,1.8,ZA,1667503096
160,talnakh,69.4865,88.3972,-9.13,92,100,5.71,RU,1667503098
161,taltal,-25.4,-70.4833,18.53,64,22,2.98,CL,1667503099
162,tazovskiy,67.4667,78.7,-15.43,89,18,2.95,RU,1667503100
163,nanortalik,60.1432,-45.2371,4.15,77,100,16.37,GL,1667503101
164,east london,-33.0153,27.9116,19.55,85,100,5.17,ZA,1667503085
165,castro,-24.7911,-50.0119,18.32,50,41,2.65,BR,1667503104
166,erzin,36.9559,36.2,17.34,50,0,1.15,TR,1667503105
167,pevek,69.7008,170.3133,-26.28,99,43,0.77,RU,1667503106
168,fairbanks,64.8378,-147.7164,-10.99,84,100,4.63,US,1667503107
169,iqaluit,63.7506,-68.5145,-13.5,71,6,7.15,CA,1667503108
170,platteville,42.7342,-90.4785,22.3,53,100,9.38,US,1667503109
171,teya,60.3778,92.6267,-2.64,98,100,0.75,RU,1667503110
172,norman wells,65.282,-126.8329,-11.98,79,100,1.54,CA,1667503111
173,palmas,-10.2128,-48.3603,30.93,55,40,1.54,BR,1667503113
174,college,64.8569,-147.8028,-11.0,84,100,4.63,US,1667503114
175,hithadhoo,-0.6,73.0833,27.52,74,86,6.39,MV,1667503115
176,laguna,38.421,-121.4238,15.05,57,0,5.66,US,1667503116
177,oksfjord,70.2396,22.3479,7.1,89,100,3.14,NO,1667503117
178,akureyri,65.6835,-18.0878,3.6,94,100,1.72,IS,1667502897
179,port hardy,50.6996,-127.4199,5.1,93,100,7.72,CA,1667503119
180,muzhi,65.3667,64.6667,-12.39,90,61,2.99,RU,1667503120
